DRR091839_1.mature	DRR091842_1.mature	DRR091837_1.mature	DRR091838_1.mature	DRR091840_1.mature	DRR091848_1.mature	DRR091841_1.mature	DRR091847_1.mature	DRR091844_1.mature	DRR091849_1.mature	DRR091845_1.mature	DRR091846_1.mature	DRR091843_1.mature
hsa-let-7e-5p	1408.93539395791	1792.58991377049	1698.68110125855	2247.46049634939	1826.85834894647	2103.179224156	2123.47200791936	545.912836968957	1194.18893515412	1412.73757554179	1483.45643199621	542.328707856318	1797.42930647185
hsa-miR-486-5p	1000.5361695918	4626.09836612745	926.529976143898	1851.66453787876	636.08725165679	1355.47797556333	1317.56826688096	2367.9951161149	1809.99350733343	778.485857577762	1969.20779084279	4520.03286840711	277.461396617143
hsa-miR-126-3p	1099.91051884721	1145.30520835345	1215.76556060135	1396.66280057903	923.228692778024	1903.28705041028	1399.60585947631	6311.62624864334	1816.94926386791	2008.32859628978	444.432259857559	4592.1343729198	1176.66163157623
hsa-miR-378a-3p	1539.25416082956	642.91706233055	1631.6380394971	2268.08358897495	2447.49450824968	1410.87293090202	937.86608987913	1337.53554345497	2235.61536920286	2168.78400746269	1135.91529973312	974.101775459845	1038.36795681851
hsa-miR-199a-5p	1937.92560079599	2352.08499314918	1805.36776148176	1407.92559655166	1730.8334394202	677.151069623591	1071.36985486466	455.827400292875	2366.63012519411	883.518590923469	1020.59614192751	415.471857887615	1594.4561461884
hsa-miR-26b-5p	1861.02578791227	827.668364888853	1549.18277962957	1856.23053624604	2006.04954080544	628.157889783952	1138.8496283147	2127.19453470008	1471.01043571628	518.810335367851	1446.31243360189	2150.08776355522	1572.70208499055
hsa-let-7d-5p	1118.35976512248	1803.94578579535	1459.62078396867	1691.93069499665	1231.73204681763	1301.2588565408	2564.14575687096	750.139222022092	926.78852255639	1042.35187494046	1482.73658706608	1131.05316644254	937.366958399952
hsa-miR-21-3p	133.170014023282	2643.29759594055	209.777140888324	75.7194729241067	135.534078564627	4570.73705783934	1956.91343005094	1338.51740107541	1230.28843109257	3680.60651677849	910.459867618789	3724.82642008599	753.331485319978
hsa-miR-3074-5p	2184.13917836044	1509.45745068912	1572.98606337118	2242.74229803653	1923.29805289835	522.201972850761	988.133383045588	802.177675905823	1156.15239309215	489.882401087309	822.494817157834	720.597065390591	1454.51149357191
hsa-miR-363-3p	581.989859774294	1439.79354345969	902.641069079473	1013.04283775448	1169.40918437131	3856.61246849677	308.454497420072	644.834992229069	1216.9932508811	599.511161374783	5959.30823851115	1367.83868705958	614.940694217623
hsa-miR-195-5p	1310.23192638524	816.967639326966	873.101022709484	1685.30999736409	1242.72409909602	1513.30133888675	1406.0284267463	2078.3471180828	854.67757823056	1328.79249522303	1140.09040032783	1429.69968803278	1428.38719686557
hsa-miR-29c-3p	1482.39693821761	624.791343521638	1026.10990057374	1500.84366332586	1452.71377705575	433.752952180266	1657.02235565752	2272.01853371613	1301.2547572545	1242.0086923814	1219.84921858539	1404.82989372261	936.881376676786
hsa-miR-148b-3p	1318.70180762979	1050.85492660822	720.691508104906	1383.72580520506	996.95840192833	2707.82038761693	886.571185949473	867.225743260488	447.897892289982	1693.09521898966	655.346824383417	3298.27809918629	895.704046552295
hsa-miR-1260a	281.518726118488	495.399917084529	672.05746074794	594.112487556282	698.72120992231	258.945286512436	5546.2721916729	369.914858503695	372.000903268169	782.676352730551	2842.09175310919	435.743875098429	439.937041188539
hsa-miR-181c-5p	1563.8252024598	786.721710953059	1518.27276009459	1454.42267992515	1679.71002646506	360.328506660595	852.146225382325	422.689705602762	1300.63842439702	78.1324580100619	965.887927238213	963.234302315904	1228.61887595501
hsa-miR-1260b	234.305427695876	459.257670543868	614.604211141383	565.498897787977	703.180249997504	259.859825869443	5578.04249110179	373.10589577015	358.089390199206	786.055784305381	2717.41461121199	435.116905493971	446.152487245066
hsa-miR-93-5p	468.778575812436	1425.16193911996	523.415372347071	606.516783120734	577.601237647264	949.161204093264	1625.5945931497	1069.48841307273	938.23470419541	855.807252009865	2982.60548346908	1293.0203142609	1694.58309750526
hsa-miR-101-3p	1654.813530681	640.84243186447	796.468148793138	1131.68269533105	1141.41056064335	285.205630906482	965.611580485488	1407.00197010165	818.225892087833	440.677877357789	1849.13765649838	1035.96277643305	976.893310665677
