DRR091843_1.hairpin	DRR091838_1.hairpin	DRR091844_1.hairpin	DRR091849_1.hairpin	DRR091841_1.hairpin	DRR091842_1.hairpin	DRR091839_1.hairpin	DRR091845_1.hairpin	DRR091840_1.hairpin	DRR091847_1.hairpin	DRR091846_1.hairpin	DRR091837_1.hairpin	DRR091848_1.hairpin
hsa-mir-146a	1466.53235717732	463.593471410995	3412.57883761757	1709.178126199	241.416797784677	564.095118438021	1464.72962054757	153.863012895575	1392.29704048793	173.211186787598	229.667794193893	360.534599660632	592.073054145543
hsa-mir-34a	938.870036802052	907.263426090407	772.956994036644	1029.41720609591	1115.31170571336	1568.5645569281	1018.06034154499	938.057137961155	923.926331796471	138.489128606674	120.383490636947	718.159315546763	423.345594485756
hsa-mir-497	907.767254381029	968.223439970621	710.135211850351	695.675055356337	530.535811380367	371.162395157884	744.574021011873	454.825829328678	803.21649336937	622.203318437478	602.771236806276	633.772686086244	1828.51704020448
hsa-mir-20a	1000.71394138339	484.409085906677	220.568107499895	321.465532115641	1832.78208869831	890.072526359293	306.545106531629	1879.83404106924	315.416461369444	739.939032959002	342.367232236992	233.372678714953	121.773890568942
hsa-mir-25	603.249314863568	451.401468634952	492.611331681069	943.480875728366	833.941275396616	759.538118786858	405.721464527156	1990.75067454121	447.701215810102	296.933463064454	572.035026430885	407.383728430093	939.83485448506
hsa-mir-193b	223.867701379226	763.933051991562	354.790857986029	2362.56705073956	594.94590988661	737.662847188181	521.051547499227	272.219176661402	565.103935376186	418.660218756199	1074.0597958956	576.738964106031	504.273697309002
hsa-mir-181b-2	675.943027266192	475.488108265671	902.198281618138	720.682982182872	557.171566401746	810.819493190315	598.814828200265	182.606652667276	749.88920173548	259.417676064375	749.195127900152	517.668323483668	1293.32269983565
hsa-mir-196b	1418.06988224224	821.919406658107	543.532952484056	150.956940116539	936.610003842657	502.772635759762	809.56458894076	563.375339525337	952.863621830365	50.2871187447866	110.138087178484	870.346236953148	158.420578639846
hsa-mir-4792	679.559629873288	555.776907034733	1039.18851149574	124.130254975346	524.966517148625	1260.15908848773	544.342964907267	1089.89118804932	1012.80515118629	289.350484841034	221.556849789276	527.85291669442	133.989453259243
hsa-mir-500a	894.747484995484	296.176457681431	805.613250855951	919.38232805916	1074.38950027142	684.588417735653	335.095876257614	764.242657459341	409.669348908413	132.10346273432	98.1851164769429	694.298268595858	384.40848841042
hsa-mir-660	838.6901445855	625.955264477321	437.815239730029	1004.40927926938	577.269454281513	389.451556658417	1035.34107058967	464.970643365749	952.036842115111	124.121380393878	119.529707015409	499.918032459214	433.270739171626
hsa-mir-423	587.336263392347	457.943518905023	886.700397025925	548.810321447777	617.707373268515	654.823703921059	309.926118736022	722.987080375252	510.949864027042	199.95116262808	263.392247244669	877.620946389399	469.153954574386
hsa-mir-3184	587.336263392347	457.943518905023	886.700397025925	548.810321447777	617.707373268515	654.465092911245	309.926118736022	722.987080375252	510.949864027042	199.552058511058	263.392247244669	877.620946389399	469.153954574386
hsa-mir-17	597.101090431505	386.278331855601	204.239979090241	325.557738323619	1006.83153980811	841.660040034351	261.089275783679	1789.88335660721	292.266629342329	436.220799905172	367.980740883151	237.446515999254	221.788810095784
hsa-mir-181b-1	558.403442535581	396.091407260709	809.764469943151	577.455764903626	472.663580015736	683.153973696395	507.527498681655	156.230136170892	646.128347471089	219.906368479186	645.460417883208	437.355531307449	1080.6955617576
hsa-mir-3960	101.9881935201	136.193591986039	531.356043161603	363.751662931418	171.921691501625	124.796631415404	214.882108990308	221.495106476048	148.82034874574	2011.88385390848	3294.75099551759	235.991574112004	342.035755328438
hsa-mir-106b	1001.0756016441	464.782935096462	402.668251458402	716.13608639623	847.501296134772	749.85562152187	531.570252135116	517.047355422713	405.535450332142	293.740630128277	242.901440327741	297.681110131418	374.865080058623
hsa-mir-4800	2.89328208567659	20.2208826529491	23.5235748274668	173.691419049752	9.44358587121603	10.7583302944314	30.804777862247	11.4974559086803	26.0435610305045	3121.79240334699	4594.20966749939	22.6970934411052	164.528359984996
hsa-let-7d	354.065395234672	541.503342809122	290.308588164855	370.117317032718	1186.98610104362	708.615355393216	359.138629711075	763.904496991438	388.173076311806	255.426634894154	326.999127049297	442.01134534665	353.106109016523
hsa-mir-203a	205.061367822328	585.81086509279	193.723557402668	41.8314412371131	474.358582608005	223.056048104545	426.007537753514	1365.49196938974	486.973252284672	930.710800895574	1085.58587478637	499.336055704313	89.7080385069005
hsa-mir-203b	204.699707561618	585.81086509279	193.170061524374	39.1033037651275	474.116439380538	221.621604065287	425.256201708093	1364.13932751813	486.973252284672	917.540365033844	1080.89006486791	498.463090571963	88.1810931706128
hsa-mir-484	862.559721792332	682.752155458399	552.38888653675	737.961186172115	417.939210608176	701.084524187114	543.591628861847	336.807826030754	514.670372745685	137.69092037263	124.225516933871	480.421811170059	243.166044803811
hsa-mir-221	340.683965588418	780.288177666741	343.444192481015	126.403702868668	140.443071930905	880.390029094305	911.74629111797	117.003521894218	1303.00483124048	29.9328087766587	22.1983741600045	1106.33781106515	55.351768440428
hsa-mir-20b	322.962612813649	455.564591534088	125.643564372587	80.025365844912	235.847503552934	667.733700274377	216.38478108115	2398.91035929936	353.034938413506	145.27389859605	247.597250246204	206.019771234647	312.260321270828
hsa-mir-30b	257.140445364507	412.446532935888	216.140140473548	594.733968892869	607.053071259964	388.734334638789	290.015713532374	842.695886012689	378.665109586384	465.355400447787	794.445659841699	247.631109210006	355.014790686883
hsa-mir-1307	501.984441864888	336.023491144595	463.552798070669	539.261840295827	859.850600735593	565.529562477278	404.970128481735	294.875928010861	344.767141260965	248.242760787756	374.384118044691	217.077329577749	419.909967479109
hsa-mir-98	433.268992330069	371.112669865889	337.632485758935	1062.60954533841	543.61154566359	515.682632113079	338.852556484717	530.91193460671	332.365445532153	81.4172398725116	192.955098467731	334.054657312676	448.921928868574
hsa-mir-92b	428.567408940844	758.877831328325	626.834082167203	99.5770177274757	191.051006471524	512.813744034564	545.469968975399	255.311153266284	886.721244610036	129.309733915165	103.734710016944	489.151462493561	172.926559334578
hsa-mir-3195	126.94275150906	78.5046032408612	854.874384024058	91.3926053115188	179.912418008039	569.474283585236	241.930206625452	1407.08570694173	116.989329708457	678.077894820574	561.789622972421	199.909015308195	77.4924758165992
hsa-mir-155	407.952774080399	227.18756392431	1081.53094618518	348.292217256833	145.528079707714	485.200696278857	247.189558943397	43.6227003594048	827.19310511174	43.1032446383885	182.709695009268	333.181692180326	448.158456200431
hsa-mir-218-1	328.025856463583	592.650281284228	467.704017157869	175.055487785745	264.904690848983	226.283547192874	732.176976262432	132.558903417726	546.501391782968	134.098983319431	146.423891093876	501.372974346464	120.628681566726
